rank,target,target_label,model,model_label,pair_type,feature_a,feature_a_label,feature_b,feature_b_label,mean_abs_interaction,mean_signed_interaction,test_rows,run_dir
1,thm4_in_avg,THM4,rf,Random Forest,pairwise_interaction,toc_in_avg,TOC,cl2d_in_avg,Cl2 dose,0.03774752339128959,-0.0011712298152067302,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_thm4_avg/20260331T214748Z
2,thm4_in_avg,THM4,rf,Random Forest,pairwise_interaction,br_in_avg,Bromide,cl2d_in_avg,Cl2 dose,0.02775955273355233,0.0019858831476328776,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_thm4_avg/20260331T214748Z
3,thm4_in_avg,THM4,rf,Random Forest,pairwise_interaction,uv_in_avg,UV254,cl2d_in_avg,Cl2 dose,0.021021369182470467,0.005222568226151655,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_thm4_avg/20260331T214748Z
4,thm4_in_avg,THM4,rf,Random Forest,pairwise_interaction,toc_in_avg,TOC,br_in_avg,Bromide,0.018739672272209983,-0.016061714918276297,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_thm4_avg/20260331T214748Z
5,thm4_in_avg,THM4,rf,Random Forest,pairwise_interaction,cl2d_in_avg,Cl2 dose,time_sds_avg,Contact time,0.017095968546886914,0.0020356572361383478,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_thm4_avg/20260331T214748Z
6,thm4_in_avg,THM4,rf,Random Forest,pairwise_interaction,temp_in_avg,Temperature,toc_in_avg,TOC,0.012264629240597727,-0.009633054704207864,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_thm4_avg/20260331T214748Z
7,thm4_in_avg,THM4,rf,Random Forest,pairwise_interaction,toc_in_avg,TOC,time_sds_avg,Contact time,0.00996629925130455,0.006364276569384654,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_thm4_avg/20260331T214748Z
8,thm4_in_avg,THM4,rf,Random Forest,pairwise_interaction,uv_in_avg,UV254,toc_in_avg,TOC,0.009369229350402356,-0.00290628346263994,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_thm4_avg/20260331T214748Z
9,thm4_in_avg,THM4,rf,Random Forest,pairwise_interaction,temp_in_avg,Temperature,cl2d_in_avg,Cl2 dose,0.008622249630919003,0.0011590955288133624,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_thm4_avg/20260331T214748Z
10,thm4_in_avg,THM4,rf,Random Forest,pairwise_interaction,uv_in_avg,UV254,br_in_avg,Bromide,0.006579407220918077,-0.0004986098456701214,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_thm4_avg/20260331T214748Z
